timestamp,process_pid,process_name,process_status,process_threads,process_cpu_percent,process_memory_mb,process_memory_percent,child_process_count,child_cpu_total,child_memory_total_mb,system_cpu_percent,system_cpu_count_logical,system_cpu_count_physical,system_cpu_freq_current,system_cpu_freq_max,system_memory_total_gb,system_memory_available_gb,system_memory_used_gb,system_memory_percent,system_memory_cached_gb,disk_total_gb,disk_used_gb,disk_free_gb,disk_percent,disk_read_mb,disk_write_mb,network_sent_mb,network_recv_mb,network_connections,network_connections_established,load_avg_1min,load_avg_5min,load_avg_15min,workload_tasks_pending,workload_tasks_running,workload_tasks_completed,workload_queue_size,threadpool_size,threadpool_active,threadpool_idle,perf_loop_rate_hz,perf_avg_loop_time_ms,perf_max_loop_time_ms,perf_gc_collections,perf_gc_time_ms,files_open,files_max,files_percent,db_connections_active,db_connections_idle,db_pool_size,api_mt5_connected,api_mt5_latency_ms,api_rate_limit_remaining,errors_total,errors_last_hour,warnings_total,warnings_last_hour,exceptions_total,exceptions_last_hour,system_uptime_seconds,process_uptime_seconds,cpu_temp_celsius,gpu_temp_celsius
2025-12-30T23:54:52.405323+00:00,29896,python.exe,running,21,3.0,94.765625,0.6085111292822779,1,0.0,22.48046875,68.1,12,6,3301.0,3301.0,15.208358764648438,3.139873504638672,12.068485260009766,79.4,0.0,952.1718711853027,193.6136932373047,758.558177947998,20.3,97.6396484375,39.15625,1.430525779724121,0.4893064498901367,99,19,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,5,0,0.0,0,0,0,False,0.0,0,0,0,0,0,0,0,157997.2953760624,105.19023156166077,0.0,0.0
2025-12-30T23:54:57.692578+00:00,29896,python.exe,running,21,20.1,94.74609375,0.6083857147873722,1,0.0,22.48046875,30.6,12,6,3301.0,3301.0,15.208358764648438,3.100780487060547,12.10757827758789,79.6,0.0,952.1718711853027,193.6137580871582,758.5581130981445,20.3,181.4228515625,39.53515625,1.455160140991211,0.5093507766723633,101,19,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,5,0,0.0,0,0,0,False,0.0,0,0,0,0,0,0,0,158002.5861234665,110.48097896575928,0.0,0.0
2025-12-30T23:55:02.956403+00:00,29896,python.exe,running,21,2.7,95.58984375,0.6138036209672969,1,0.0,22.48046875,31.9,12,6,3301.0,3301.0,15.208358764648438,3.1259117126464844,12.082447052001953,79.4,0.0,952.1718711853027,193.60360717773438,758.5682640075684,20.3,182.9267578125,44.98046875,1.4821338653564453,0.5341806411743164,100,19,0.16,0.03,0.01,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,5,0,0.0,0,0,0,False,0.0,0,0,0,0,0,0,0,158007.83089995384,115.72575545310974,0.0,0.0
2025-12-30T23:55:08.215154+00:00,29896,python.exe,running,21,15.4,97.61328125,0.6267965626395237,1,0.0,22.48046875,25.6,12,6,3301.0,3301.0,15.208358764648438,3.1207122802734375,12.087646484375,79.5,0.0,952.1718711853027,193.6053237915039,758.5665473937988,20.3,182.9267578125,47.4375,1.5028467178344727,0.5473651885986328,100,19,0.15,0.03,0.01,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,5,0,0.0,0,0,0,False,0.0,0,0,0,0,0,0,0,158013.1562693119,121.05112481117249,0.0,0.0
2025-12-30T23:55:13.526836+00:00,29896,python.exe,running,21,8.0,94.80078125,0.6087368753731082,1,0.0,22.48046875,13.5,12,6,3301.0,3301.0,15.208358764648438,3.0380783081054688,12.170280456542969,80.0,0.0,952.1718711853027,193.61350631713867,758.5583648681641,20.3,187.64892578125,57.5302734375,2.5192480087280273,1.6853179931640625,117,23,0.14,0.03,0.01,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,5,0,0.0,0,0,0,False,0.0,0,0,0,0,0,0,0,158018.4089910984,126.30384659767151,0.0,0.0
2025-12-30T23:55:18.781223+00:00,29896,python.exe,running,21,3.8,95.73046875,0.6147066053306177,1,0.0,22.48046875,8.1,12,6,3301.0,3301.0,15.208358764648438,3.0362548828125,12.172103881835938,80.0,0.0,952.1718711853027,193.61357879638672,758.558292388916,20.3,187.77001953125,58.2138671875,2.5348358154296875,1.7002019882202148,118,23,0.12,0.03,0.01,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,5,0,0.0,0,0,0,False,0.0,0,0,0,0,0,0,0,158023.66815400124,131.56300950050354,0.0,0.0
2025-12-30T23:55:24.038751+00:00,29896,python.exe,running,20,17.6,94.953125,0.6097151084333723,1,0.0,22.46484375,8.0,12,6,3301.0,3301.0,15.208358764648438,3.05438232421875,12.153976440429688,79.9,0.0,952.1718711853027,193.5964126586914,758.5754585266113,20.3,197.16845703125,69.0537109375,2.5537309646606445,1.7160272598266602,116,22,0.11,0.03,0.01,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,5,0,0.0,0,0,0,False,0.0,0,0,0,0,0,0,0,158028.8869585991,136.78181409835815,0.0,0.0
2025-12-30T23:55:29.257488+00:00,29896,python.exe,running,20,1.2,95.8046875,0.6151831804112593,1,0.0,22.46484375,3.5,12,6,3301.0,3301.0,15.208358764648438,3.083038330078125,12.125320434570312,79.7,0.0,952.1718711853027,193.59647369384766,758.5753974914551,20.3,197.36376953125,69.5537109375,2.5682973861694336,1.7276830673217773,112,21,0.11,0.03,0.01,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,5,0,0.0,0,0,0,False,0.0,0,0,0,0,0,0,0,158034.10695385933,142.0018093585968,0.0,0.0
2025-12-30T23:55:34.477491+00:00,29896,python.exe,running,20,2.1,95.8125,0.6152333462092214,1,0.0,22.46484375,36.1,12,6,3301.0,3301.0,15.208358764648438,2.6213150024414062,12.587043762207031,82.8,0.0,952.1718711853027,193.60077285766602,758.5710983276367,20.3,206.0732421875,70.4326171875,2.641861915588379,2.700044631958008,122,24,0.1,0.03,0.01,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,5,0,0.0,0,0,0,False,0.0,0,0,0,0,0,0,0,158039.37064027786,147.26549577713013,0.0,0.0
2025-12-30T23:55:39.741963+00:00,29896,python.exe,running,21,20.5,94.2421875,0.6051500208188062,1,0.0,22.46484375,8.3,12,6,3301.0,3301.0,15.208358764648438,2.761058807373047,12.44729995727539,81.8,0.0,952.1718711853027,193.59523391723633,758.5766372680664,20.3,213.89111328125,82.1279296875,2.6553125381469727,2.7095680236816406,120,24,0.09,0.03,0.01,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,5,0,0.0,0,0,0,False,0.0,0,0,0,0,0,0,0,158044.597325325,152.49218082427979,0.0,0.0
