timestamp,pids,cpu_delta_s,mem_mb,errors_delta,errors_total,trades_delta,trades_total,restarts_total,log_bytes
2025-12-29T11:51:44.9902954+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:51:55.0696336+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:52:05.1519180+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:52:15.2256394+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:52:25.3012210+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:52:35.3772382+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:52:45.4563811+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:52:55.5408950+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:53:05.6459883+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:53:15.7275830+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:53:25.7973795+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:53:35.8789255+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:53:45.9596647+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:53:56.0359388+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:54:06.1143012+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:54:16.1848991+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:54:26.2554566+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:54:36.3325077+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:54:46.4170466+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:54:56.4827863+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:55:06.5476832+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:55:16.6273198+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:55:26.6941822+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:55:36.7731171+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:55:46.8481096+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:55:56.9295955+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:56:06.9959872+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:56:17.0786880+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:56:27.1509996+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:56:37.2223576+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:56:47.3340769+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:56:57.4239623+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:57:07.5149321+05:00,,0,0,0,13,0,6,4,323564
2025-12-29T11:57:17.5932582+05:00,,0,0,0,13,0,6,4,323564
